part,time,area,code,hint
14,352,缪尔洞窟,MOON_MUL_2,"在群虫肆虐的洞窟中…有个粮仓…去那里的天花板找找吧…"
19,6016,缪尔洞窟,MOON_MUL_4,"在群虫肆虐的洞窟中…有着多个虫巢…其中一个下方藏着宝物…"
19,3450,缪尔洞窟,MOON_MUL_6,"在群虫肆虐的洞窟中…沙子下面有隐藏的房间…解谜的关键是巨龙捕食者…"
15,1927,缪尔洞窟,MOON_MUL_5,"群虫肆虐的洞窟…北出口藏着宝物…"
19,6699,禁忌之地,MOON_MUL_7,"在大铁球的西边…洞窟里有虫巢…那是通往宝物的道路…"
19,4089,海边悬崖,MOON_FISH_7,"有个大大的球体…在那西南边…有着会发光的鲨鱼…"
22,5782,奥兰提亚,MOON_OLWOOD_3,"在橙色的森林之中…高处有个亭子…"
15,5923,奥兰提亚,MOON_OLWOOD_1,"在长翅膀的种族与绿色巨人的村子前…去桥上战斗吧…"
16,137,世界尽头,MOON_OLWOOD_2,"在长翅膀的种族与绿色巨人的村子后…与两只大野猪战斗吧…"
20,1704,斯菲亚,MOON_MEGALITHS_1,"钢铁铸就的蓝色都市西边…列车上有个壶…"
20,3740,普利斯汀城,MOON_PRISTINE_1,"钢铁铸就的蓝色都市…向上前进吧…"
21,5323,普利斯汀城,MOON_MEGALITHS_2,"钢铁铸就的蓝色都市东边…摩斯迈会帮助你…"
20,7009,E.D.E.N,MOON_PHOENIX_2,"钢铁铸就的蓝色都市…与水中实验室的中间…有列载着箱子的列车…"
20,6306,E.D.E.N,MOON_PHOENIX_1,"在水中的实验室…Ｄ…３…"
21,2272,E.D.E.N,MOON_PHOENIX_3,"在水中的实验室…Ｆ…３…"
21,2051,E.D.E.N,MOON_PHOENIX_4,"在水中的实验室…Ｆ…４…"
